PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
307671649,23042724,3,2023-03-23T15:00:00,"Cedar Ave & Lockhart St Pittsburgh, PA 15212",N,Allegheny Center,1,ROBBERY,3701 Robbery. / 2702 Aggravated Assault. / 2701 Simple Assault.,2204,1,1,-80.0013231472598,40.4521570643818
307675551,23042681,99,2023-03-23T13:45:00,"Grant St Ramp & Blvd Of The Allies Pittsburgh, PA 15219",N,Central Business District,2,FOUND PROPERTY,9489 Found Property,201,6,6,-79.9983661566117,40.4370717537466
307684822,23042755,23,2023-03-23T16:05:00,"Strawberry Way & Coffey Way Pittsburgh, PA 15222",Y,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness,201,6,6,-79.998470077674,40.4425889658261
-3629022276,23042768,0,2023-03-23T16:28:00,"1800 Block Fairywood St Pittsburgh, PA 15205",N,Fairywood,6,99,9999 9999 - (Misc. Incident): Dispute over money,2808,,,,
307314889,23040907,5,2023-03-20T10:49:00,"700 Block Fisher St Pittsburgh, PA 15210",Y,Central Business District,3,BURGLARY,3502 Burglary. / 3304 Criminal Mischief.,1606,3,3,-79.9772086735761,40.4115109023298
306135226,23033694,0,2023-03-06T12:52:00,"200 Block 6th Ave Pittsburgh, PA 15222",Y,Central Business District,2,99,601.16 Public Urination And Defecation,201,6,6,-80.0001971735298,40.4423287232048
306135341,23033734,0,2023-03-06T14:27:00,"900 Block Saw Mill Run Blvd Pittsburgh, PA 15226",N,Bon Air,3,99,9999 9999 - (Misc. Incident): ,1806,2,5,-80.0228567519789,40.426952035298
-3629021984,23033795,26,2023-03-06T15:56:00,"2400 Block Hobson St Pittsburgh, PA 15226",N,Brookline,6,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(4) Harassment Communicates Prohibited Acts,1918,4,5,-80.0094084554851,40.3893776560637
306141202,23033829,10,2023-03-06T16:38:00,"2400 Block Woodward Ave Pittsburgh, PA 15226",Y,Brookline,6,SIMPLE ASSAULT,2701 Simple Assault.,1919,4,5,-80.0223422385105,40.4000430587293
306144427,23033946,0,2023-03-06T17:00:00,"2100 Block Brent St Pittsburgh, PA 15210",N,Arlington,3,99,9999 9999 - (Misc. Incident): ,1603,3,3,-79.9777623137209,40.4155960686956
307632311,23042606,0,2023-03-23T11:31:00,"2000 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9999 9999 - (Misc. Incident): Road rage,305,6,3,-79.9799824053927,40.4435889103074
307636404,23042558,27,2023-03-23T10:15:00,"2000 Block Smallman St Pittsburgh, PA 15222",N,Strip District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,203,7,6,-79.9844658958601,40.4516605660999
307696187,23042852,27,2023-03-23T18:25:00,"300 Block Spahr St Pittsburgh, PA 15232",N,Shadyside,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,705,8,2,-79.9275366057272,40.4571697556341
307698433,23042291,11,2023-03-23T19:13:00,"900 Block Freeport Rd Pittsburgh, PA 15238",Y,Lincoln-Lemington-Belmar,5,UNSWORN FALSIFI TO AUTHORITIES,4904 Unsworn Falsification to Authorities. / 6111 Sale of Firearms.,1201,9,2,-79.8923529450752,40.4861185015656
307720328,23039077,3,2023-03-16T21:21:00,"5th Ave & Moultrie St Pittsburgh, PA 15219",Y,Bluff,2,ROBBERY,"3701 Robbery. / 2701 Simple Assault. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",103,6,3,-79.9744317839573,40.4380340440585
307740151,23043046,6,2023-03-24T03:10:00,"60 Block Southern Ave Pittsburgh, PA 15211",N,Mount Washington,3,THEFT FROM AUTO,3934 Theft from Vehicle,1914,2,5,-80.0133971866647,40.419963772341
307742243,23043037,6,2023-03-24T07:24:00,"600 Block Smithfield St Pittsburgh, PA 15222",Y,Central Business District,2,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION",201,6,6,-79.9974088316752,40.4415332222525
306463171,23035452,5,2023-03-09T10:00:00,"2700 Block Burham St Pittsburgh, PA 15203",N,South Side Slopes,3,BURGLARY,3502 Burglary.,1608,3,3,-79.9699747074663,40.4208864920382
306526641,23035731,6,2023-03-10T09:12:00,"1200 Block Brighton Rd Pittsburgh, PA 15233",Y,Central North Side,1,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 9501 Bench Warrant",2206,1,1,-80.014799185822,40.4546367229505
-3646152608,23035802,99,2023-03-10T11:38:00,"900 Block Manton Way Pittsburgh, PA 15210",N,Allentown,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1803,,,,
306546499,23035916,10,2023-03-10T15:23:00,"2400 Block Chauncey Dr Pittsburgh, PA 15219",Y,Bedford Dwellings,2,HARRASSMENT,2709(a) Harassment.,509,6,3,-79.9746251362786,40.4498408098275
306558359,23036000,6,2023-03-10T18:03:00,"5500 Block Centre Ave Pittsburgh, PA 15232",N,Shadyside,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,709,8,2,-79.9364516472806,40.4565706687443
306562552,23033623,0,2023-03-03T15:00:00,Zone 5,N,,5,99,6321(a)(1) TSEI(S) Knowingly transmits distributes publishes disseminates electronic comm. w/sexually explicit image of himself,,,,,
308134389,23046344,0,2023-03-30T01:20:00,"100 Block Grasmere St Pittsburgh, PA 15205",N,Oakwood,6,99,9994 PFA Service,2812,2,5,-80.0655089067938,40.4280489115865
307279756,23040771,0,2023-03-20T02:09:00,"Boyd St & Watson St Pittsburgh, PA 15219",N,Bluff,2,99,9999 9999 - (Misc. Incident):  / 3353 Prohibitions in Specified Places.,103,6,6,-79.9932995671839,40.4383022200662
307318613,23040928,4,2023-03-20T11:35:00,"2100 Block Somers Dr Pittsburgh, PA 15219",N,Central Business District,2,AGG-ASSAULT,2702 Aggravated Assault.,201,,,,
307321698,23040890,99,2023-03-20T07:25:00,"1600 Block Mount Joseph St Pittsburgh, PA 15210",N,Carrick,3,FOUND PROPERTY,9489 Found Property,2901,4,3,-79.9920708138913,40.3995240158
307337267,23040665,6,2023-03-19T19:40:00,"1100 Block Lincoln Ave Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1203,9,2,-79.9000465962757,40.4642436265259
307354264,23041137,0,2023-03-20T17:45:00,"4100 Block Butler St Pittsburgh, PA 15201",N,Central Lawrenceville,2,99,9999 9999 - (Misc. Incident): ,902,7,2,-79.9611056483222,40.469425810564
307359181,23041185,0,2023-03-20T19:13:00,"2900 Block Shadeland Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,99,9999 9999 - (Misc. Incident): ,2715,1,1,-80.0304048905528,40.4707029348676
307363260,23040965,0,2023-03-20T20:43:00,"7700 Block Susquehanna St Pittsburgh, PA 15221",N,Homewood South,5,99,9994 PFA Service,1304,9,2,-79.8906376157535,40.4504513741472
307367358,23041300,14,2023-03-20T23:10:00,"800 Block Herron Ave Pittsburgh, PA 15219",N,Upper Hill,2,CRIM MISCHIEF,3304 Criminal Mischief.,506,6,3,-79.965857624052,40.4542710412397
307368248,23041290,27,2023-03-20T23:19:00,"2200 Block Mazette Rd Pittsburgh, PA 15205",N,Fairywood,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2808,,,,
307369970,23041332,5,2023-03-21T02:08:00,"2200 Block Woodward Ave Pittsburgh, PA 15226",Y,Brookline,6,BURGLARY,3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition. / 3503 Criminal Trespass,1917,4,5,-80.0216281980366,40.4013389248803
307404459,23041434,0,2023-03-21T09:30:00,"2900 Block S Water St Pittsburgh, PA 15203",N,South Side Flats,3,99,9994 PFA Service,1702,3,3,-79.9624687772716,40.4271750177289
307406021,23041435,0,2023-03-21T09:30:00,"2700 Block S Water St Pittsburgh, PA 15203",N,South Side Flats,3,99,9994 PFA Service,1702,3,3,-79.9650866038366,40.4287893718289
307422400,23041524,0,2023-03-21T12:00:00,"700 Block Fisher St Pittsburgh, PA 15210",N,St. Clair,3,99,9994 PFA Service,1606,3,3,-79.9772086735761,40.4115109023298
307422566,23041012,14,2023-03-20T13:56:00,"Warfield St & Province Ter Pittsburgh, PA 15212",Y,North Shore,1,INJURY/TAMP/FIRE APP-HYD-ETC,3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s),2205,,,,
308135776,23046376,0,2023-03-30T03:15:00,"7900 Block Batavia St Pittsburgh, PA 15221",N,East Hills,5,99,8106 Shots Fired,1306,9,2,-79.8854356879293,40.4534517855643
308182341,23046657,99,2023-03-30T17:00:00,"2100 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,MENTAL 201/302,9498 302 (Mental),1609,3,3,-79.9760719669211,40.4283146103026
308185278,23046770,10,2023-03-30T19:20:00,"600 Block Grant St Pittsburgh, PA 15219",N,Central Business District,2,HARRASSMENT,2709(a) Harassment.,201,6,6,-79.9948560626431,40.4413629674267
306332696,23034848,10,2023-03-08T00:01:00,"5700 Block Darlington Rd Pittsburgh, PA 15217",N,Squirrel Hill South,4,HARRASSMENT,2709(a) Harassment.,1413,5,3,-79.9249035181639,40.4366820178353
306351452,23034963,6,2023-03-08T18:04:00,"4700 Block Liberty Ave Pittsburgh, PA 15224",N,Bloomfield,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,802,7,2,-79.9498576281956,40.4620780822183
306361554,23035075,18,2023-03-08T22:44:00,"Kelly St & Oakwood St Pittsburgh, PA 15221",Y,Homewood South,5,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession,1304,9,2,-79.885317618137,40.45288875268
306364460,23035070,21,2023-03-08T22:35:00,"2500 Block Allequippa St Pittsburgh, PA 15213",Y,West Oakland,4,DUI - GENERAL IMPAIRMENT,3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 7513 Restriction on Alcoholic Beverages - Open Container / 3802(a)(1) DUI - General Impairment,402,6,3,-79.9677137370743,40.4411261144326
306423554,23035245,0,2023-03-09T10:30:00,"500 Block Chautauqua St Pittsburgh, PA 15214",N,Perry South,1,99,9999 9999 - (Misc. Incident): ,2614,6,1,-80.0152187444409,40.4652049157821
306426580,23035285,14,2023-03-09T10:00:00,"100 Block Monastery Ave Pittsburgh, PA 15203",N,South Side Slopes,3,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1706,6,1,-80.0134122188147,40.4573016644058
307755769,23043094,23,2023-03-24T10:21:00,"10th St & Penn Ave Pittsburgh, PA 15222",Y,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness,201,6,6,-79.9956124094072,40.4444643657088
307779345,23043224,6,2023-03-23T15:00:00,"1800 Block Forbes Ave Pittsburgh, PA 15219",N,Bluff,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,103,6,3,-79.9813236408135,40.4373720231649
307783364,23032506,10,2023-03-04T03:06:00,"700 Block Montclair St Pittsburgh, PA 15217",Y,Greenfield,4,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1517,5,3,-79.9331418911494,40.4204269729162
307793482,23043320,0,2023-03-24T17:10:00,"1900 Block Wharton St Pittsburgh, PA 15203",Y,South Side Flats,3,99,3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,1702,,,,
307793488,23043215,0,2023-03-24T13:34:00,"Allegheny Sq E Pittsburgh, PA 15212",Y,Allegheny Center,1,99,9999 9999 - (Misc. Incident): ,2204,1,1,-80.0070235171374,40.4515019090912
306155224,23034049,14,2023-03-07T01:06:00,"800 Block Memory Ln Pittsburgh, PA 15219",N,Bedford Dwellings,2,CRIM MISCHIEF,3304 Criminal Mischief.,509,,,,
306164328,23034077,26,2023-03-07T04:43:00,"2900 Block Glen Mawr St Pittsburgh, PA 15204",N,Sheraden,6,FALSE RPT LAW ENFORCE AUTH,4906 False Reports to Law Enforcement Authorities.,2018,2,5,-80.0512621222363,40.4551893228022
